"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"4.104.773.920,50";"890.115,32";"721.963,51";"328.024.022,59";
"01/2025";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"11.625.025,76";"371.508,20";"371.508,20";"2.412.467,14";
"01/2025";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"7.709.708,57";"599.977,68";"599.977,68";"45.902.410,12";
"01/2025";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"1.320.786.812,86";"50.566,08";"50.566,08";"277.679.221,62";
"01/2025";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"358.838.275,16";"423.032,59";"419.244,90";"30.336.998,77";
"01/2025";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"1.430.884,88";"41.780,52";"41.624,69";"23.136.900,85";
"01/2025";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"128.877.295,03";"136.072,42";"133.637,82";"13.933.938,69";
"01/2025";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"311.103.540,64";"237.945,17";"190.638,88";"32.048.495,11";
"01/2025";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"5.612.642,86";"1.032.688,53";"1.000.780,11";"63.728.101,07";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"138.772.823,57";"1.740.886,20";"1.576.372,46";"13.074.911,07";
"01/2025";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.209.815,18";"7.467,35";"0,00";"8.688.998,48";
"01/2025";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"327.112.725,40";"4.097.329,86";"4.087.939,16";"2.030.369.748,19";
"01/2025";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"4.259.430,38";"2.088.193,16";"2.087.206,90";"44.217.290,67";
"01/2025";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"349.900.287,33";"492.435,81";"356.913,39";"41.264.376,16";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"5.342.549,00";"22.298,05";"22.298,05";"727.027,76";
"01/2025";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"419.184.476,63";"17.368.791,23";"14.443.514,27";"301.126.912,87";
"01/2025";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"1.782,00";"1.781,97";"1.781,97";"12.896.351,92";
"01/2025";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"1.893.674,00";"0,00";"0,00";"853.037,05";
"01/2025";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"452.250.376,56";"33.139.159,48";"42.606,78";"44.676.902,82";
"01/2025";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"517.790.622,11";"202.901,74";"84.006,88";"50.250.312,50";
